1,interleukin 2
2,interleukin 10
3,interleukin 4
4,"tumor necrosis factor receptor superfamily, member 6"
5," J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
6," J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
7," J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
8,J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
9,J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
10,J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
11,J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
12,X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
13,X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
14," J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
15," J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
16," J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
17,J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
18,J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
19,J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
20,J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
21,X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
22,X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
23,U14573 Human Alu-Sq subfamily consensus sequence.
24," L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
25," L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
26," L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
27," X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
28," X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
29," X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
30," M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
31," M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
32," M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
33," X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
34," X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
35," X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
36," K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
37," K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
38," K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
39,"signal transducer and activator of transcription 1, 91kD"
40,"signal transducer and activator of transcription 1, 91kD"
41,"signal transducer and activator of transcription 1, 91kD"
42,"signal transducer and activator of transcription 1, 91kD"
43," M10098 Human 18S rRNA gene, complete (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
